round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer
1,86.8914755343774,0.5523932576179504,465.24451814250557,0.5180255,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,107.69995812024983,0.5226390957832336,443.09512679469765,0.5102607,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,134.9296794856813,0.5019404888153076,483.91205564341277,0.50471437,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,173.12840961885638,0.4333764612674713,565.5171903164864,0.50083196,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,161.08662987002117,0.5523932576179504,638.4933163965006,0.4963949,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,110.63636337615849,0.5368693470954895,480.93680553468016,0.509706,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,150.03805200495356,0.5536869168281555,480.4762204255386,0.5130338,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,310.5166111165154,0.5769728422164917,541.8081515751742,0.49417636,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,142.48134440314723,0.5213454365730286,598.6514023766541,0.51192456,<function relu at 0x1370a5d90>,32,0.4,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,73.8976695565326,0.5032341480255127,407.9168049859392,0.5019412,<function relu at 0x1370a5d90>,32,0.4,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,88.7489938304156,0.5135834217071533,398.0689249572923,0.5174709,<function relu at 0x1370a5d90>,32,0.4,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,109.24172109033898,0.5562742352485657,419.539548640111,0.4963949,<function relu at 0x1370a5d90>,32,0.4,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,107.07839483184617,0.5304010510444641,516.1528655447302,0.515807,<function relu at 0x1370a5d90>,32,0.4,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,166.04142482900681,0.565329909324646,590.0155926374879,0.5108153,<function relu at 0x1370a5d90>,32,0.4,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,140.68244880784837,0.5640362501144409,504.4342630717467,0.5246811,<function relu at 0x1370a5d90>,32,0.4,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,202.48114037359517,0.4346701204776764,480.6403983608591,0.5174709,<function relu at 0x1370a5d90>,32,0.4,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,112.37122041966289,0.5006468296051025,486.2466741763944,0.51136994,<function relu at 0x1370a5d90>,32,0.4,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,180.32497537274872,0.582147479057312,617.2769888117786,0.51913476,<function relu at 0x1370a5d90>,32,0.4,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,193.800958788873,0.5472186207771301,540.0953437352405,0.50804216,<function relu at 0x1370a5d90>,32,0.4,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,84.49289031232313,0.5329883694648743,572.6172630915163,0.5130338,<function relu at 0x1370a5d90>,32,0.4,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,162.16875241613943,0.561448872089386,547.8180704820309,0.49306712,<function relu at 0x1370a5d90>,32,0.4,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
